要因,偏差平方和(平方和),自由度,分散(平均平方),分散比(F値)
回帰変動(要因),回帰変動の平方和<br>\(SSR = \sum (\hat{y_i} - \bar{y})^2\),\(k\),回帰変動の平均平方<br>\(MSR= \frac{SSR}{k}\),\(F= \frac{MSR}{MSE}\)
残差変動(残差),残差変動の平方和<br>\(SSE = \sum (y_i - \hat{y_i})^2\),\(n-k-1\),残差変動の平均平方<br>\(MSE= \frac{SSE}{n-k-1}\),-
全体変動(全体),全変動の平方和  <br>\(SST = \sum (y_i - \bar{y})^2\),\(n-1\),-,-
