A,偏差平方和(平方和),自由度,分散(平均平方),分散比(F値)
群間変動(要因),群間偏差平方和<br>\(S_a = \sum \bar{x}_g - \bar{x}_t\),\(df_a=g(群数)-1\),群間分散(\(V_a=S_a/f_a\)),\(F=V_a/V_e\)
郡内変動(残差),郡内偏差平方和<br>\(S_e = \sum x_i - \bar{x}_g\),\(df_e=n-g(群数)\),郡内分散(\(V_e=S_e/f_e\)),-
全体変動(全体),全体偏差平方和<br>\(S_t = \sum x_i - \bar{x}_t\),\(df_t=n-1\),全体分散(\(V_t=S_t/f_t\)),-
