NA,NA,NA,NA
NA,NA,帰無仮説が正しい,対立仮説が正しい
検定の結果,帰無仮説を棄却しない（対立仮説が正しいとは言えない）,正しい,第2種の過誤($\beta$)
NA,帰無仮説を棄却する（対立仮説が正しい）,第1種の過誤($\alpha$),正しい($1-\beta$)
