,,,
検定の結果,帰無仮説を棄却しない\n（対立仮説が正しいとは言えない）,正しい,第2種の過誤($\beta$)
,帰無仮説を棄却する\n（対立仮説が正しい）,第1種の過誤($\alpha$),正しい($1-\beta$)
